external_id,default_code,name,taxes_id,supplier_taxes_id
product.product_208,01349.22.1,TOMATES DE ARBOL,,
product.product_209,1349.29,"OTRAS FRUTAS FRESCAS: KIWIS, BABACOS, NARANJILLA, UVILLAS, TUNAS, TAXO, GUABA, NISPEROS, ZAPOTE, PITAHAYAS, ARANDANOS ROJOS, MIRTILOS,  ETC.",,
product.product_210,01349.29.1,OTRAS FRUTAS,,
product.product_211,135,OTRAS FRUTAS  SECAS,,
product.product_212,1350,"OTRAS FRUTAS, SECAS",,
product.product_213,1350,UVAS SECAS (PASAS),,
product.product_214,01350.00.1,UVAS SECAS (PASAS),,
product.product_215,1350.1,"ALBARICOQUES, CIRUELAS, MANZANAS, SECAS.",,
product.product_216,01350.10.1,"ALBARICOQUES, CIRUELAS, MANZANAS, SECAS.",,
product.product_217,1350.11,"LAS DEMAS FRUTAS U OTROS FRUTOS SECOS: PERAS, DURAZNOS, CAPSULAS DE TAMARINDO O PULPA DE TAMARINDO SIN ADICION DE AZUCAR.",,
product.product_218,01350.11.1,FRUTAS SECAS,,
product.product_219,1350.12,"MEZCLAS DE FRUTAS O NUECES, SECAS.",,
product.product_220,01350.12.1,"MEZCLAS DE FRUTAS O NUECES, SECAS.",,
product.product_221,136,OTRAS NUECES  FRESCAS O SECAS  CON CASCARA O SIN ELLA,,
product.product_222,1360,"OTRAS NUECES, FRESCAS O SECAS, CON CASCARA O SIN ELLA",,
product.product_223,1360,"ALMENDRAS FRESCAS O SECAS, CON CASCARA O SIN  ELLA.",,
product.product_224,01360.00.1,"ALMENDRAS FRESCAS O SECAS, CON CASCARA O SIN  ELLA.",,
product.product_225,1360.01,AVELLANAS FRESCAS O SECAS CON CASCARA O SIN ELLA,,
product.product_226,01360.01.1,AVELLANAS FRESCAS O SECAS CON CASCARA O SIN ELLA,,
product.product_227,1360.02,"NUECES FRESCAS O SECAS, CON CASCARA O SIN ELLA.",,
product.product_228,01360.02.1,"NUECES FRESCAS O SECAS, CON CASCARA O SIN ELLA.",,
product.product_229,1360.03,"CASTANAS FRESCAS O SECAS, CON CASCARA O SIN ELLA",,
product.product_230,01360.03.1,"CASTANAS FRESCAS O SECAS, CON CASCARA O SIN ELLA",,
product.product_231,1360.04,"PISTACHOS (ALFONCIGOS) FRESCOS O SECOS, CON CASCARA O SIN ELLA",,
product.product_232,01360.04.1,"PISTACHOS (ALFONCIGOS) FRESCOS O SECOS, CON CASCARA O SIN ELLA",,
product.product_233,1360.09,"OTRAS NUECES O FRUTOS CON CASCARA (COMESTIBLES), EXCEPTO LAS MEZCLAS, FRESCAS O SECAS, CON CASCARA O SIN ELLA, N.C.P.",,
product.product_234,14,SEMILLAS DE ACEITE Y FRUTOS OLEAGINOSOS,,
product.product_235,141,SOYA (SOJA),,
product.product_236,1410,SOYA (SOJA),,
product.product_237,1410,SOYA (SOJA),,
product.product_238,01410.00.1,SOYA (SOJA),,
product.product_239,1410.01,OTRA SOYA (SOJA),,
product.product_240,142,CACAHUETES (MANIES),,
product.product_241,1420,CACAHUETES (MANIES),,
product.product_242,1420,"CACAHUETES (MANIES), SIN TOSTAR NI SOMETER A OTRO TIPO DE COCCION, CON CASCARA",,
product.product_243,01420.00.1,"CACAHUETES (MANIES), SIN TOSTAR NI SOMETER A OTRO TIPO DE COCCION, CON CASCARA",,
product.product_244,1420.01,"CACAHUETES (MANIES), SIN TOSTAR NI SOMETER A OTRO TIPO DE COCCION, DESCACARADOS",,
product.product_245,01420.01.1,"CACAHUETES (MANIES), SIN TOSTAR NI SOMETER A OTRO TIPO DE COCCION, DESCACARADOS",,
